All Time Rank,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,AirPlay Spins,Deezer Playlist Reach,Pandora Streams,Pandora Track Stations,Shazam Counts,Spotify Streams is NaN,Spotify Playlist Count is NaN,Spotify Playlist Reach is NaN,YouTube Views is NaN,YouTube Likes is NaN,TikTok Posts is NaN,TikTok Likes is NaN,TikTok Views is NaN,YouTube Playlist Reach is NaN,AirPlay Spins is NaN,Deezer Playlist Reach is NaN,Pandora Streams is NaN,Pandora Track Stations is NaN,Shazam Counts is NaN,Track Score,Spotify Popularity,Apple Music Playlist Count,Deezer Playlist Count,Amazon Playlist Count,Spotify Popularity is NaN,Apple Music Playlist Count is NaN,Deezer Playlist Count is NaN,Amazon Playlist Count is NaN
1,390470936.0,30716.0,196631588.0,84274754.0,1713126.0,5767700.0,651565900.0,5332281936.0,150597040.0,40975.0,17598718.0,18004655.0,22931.0,2669262.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725.4,92.0,210.0,62.0,114.0,0,0,0,0
2,323703884.0,28113.0,174597137.0,116347040.0,3486739.0,674700.0,35223547.0,208339025.0,156380351.0,40778.0,10422430.0,7780028.0,28444.0,1118279.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545.9,92.0,188.0,67.0,111.0,0,0,0,0
3,601309283.0,54331.0,211607669.0,122599116.0,2228730.0,3025400.0,275154237.0,3369120610.0,373784955.0,74333.0,36321847.0,5022621.0,5639.0,5285340.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,538.4,92.0,190.0,136.0,172.0,0,0,0,0
4,2031280633.0,269802.0,136569078.0,1096100899.0,10629796.0,7189811.0,1078757968.0,14603725994.0,3351188582.0,1474799.0,24684248.0,190260277.0,203384.0,11822942.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.9,85.0,394.0,264.0,210.0,0,0,0,0
5,107034922.0,7223.0,151469874.0,77373957.0,3670188.0,16400.0,112637464.57127072,1161157789.8336556,112763851.0,12185.0,17660624.0,4493884.0,7006.0,457017.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,423.3,88.0,182.0,82.0,105.0,0,0,0,0
6,670665438.0,105892.0,175421034.0,131148091.0,1392593.0,4202367.0,214943489.0,2938686633.0,2867222632.0,522042.0,17167254.0,138529362.0,50982.0,4517131.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,410.1,83.0,138.0,86.0,152.0,0,0,0,0
7,900158751.0,73118.0,201585714.0,308723145.0,4120760.0,944307.6200758681,29584940.0,534915313.0,4601579812.0,383478.0,48197850.0,65447476.0,57372.0,9990302.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,407.2,86.0,280.0,168.0,154.0,0,0,0,0
8,675079153.0,40094.0,211236940.0,228382568.0,1439495.0,3500000.0,338546668.0,3804584163.0,2112581620.0,17221.0,33245595.0,3372428.0,5762.0,6063523.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375.8,92.0,160.0,87.0,53.0,0,0,0,0
9,1653018119.0,1.0,15.0,402796728.9801957,2930048.625204201,944307.6200758681,112637464.57127072,1161157789.8336556,343960146.3082707,55139.15675280351,1294938.737745098,85667349.25558099,87876.96578631453,2529148.692766592,0,0,0,1,1,1,1,1,1,1,1,1,1,1,355.7,63.50158061116965,54.603119584055456,32.31095406360424,25.348942172073343,1,1,1,1
10,90676573.0,10400.0,184199419.0,32735244.0,988682.0,325800.0,121574500.0,974656200.0,174706874.0,3823.0,10800098.0,1005626.0,842.0,666302.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330.6,86.0,191.0,78.0,92.0,0,0,0,0
11,250080413.0,16219.0,168766158.0,32229063.0,550191.0,944307.6200758681,184500.0,2100000.0,327130768.0,62312.0,12009073.0,23155471.0,21172.0,963413.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,322.1,91.0,157.0,60.0,114.0,0,0,0,0
12,111155129.0,2.0,263767.0,402796728.9801957,2930048.625204201,944307.6200758681,112637464.57127072,1161157789.8336556,343960146.3082707,55139.15675280351,1294938.737745098,85667349.25558099,87876.96578631453,2529148.692766592,0,0,0,1,1,1,1,1,1,1,1,1,1,1,320.2,63.50158061116965,54.603119584055456,32.31095406360424,2.0,1,1,1,0
13,221636195.0,13800.0,197280692.0,40022524.0,1307290.0,195300.0,45889000.0,360017000.0,342107131.0,41344.0,38243636.0,1354692.0,1219.0,450344.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.3,92.0,244.0,138.0,163.0,0,0,0,0
14,355186436.0,43025.0,108168634.0,98081493.0,1456177.0,944307.6200758681,112637464.57127072,1161157789.8336556,174491415.0,90237.0,3001826.0,26252264.0,18364.0,1963314.0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,308.2,88.0,153.0,55.0,109.0,0,0,0,0
15,297185.0,277.0,24445.0,6736502312.0,16785489.0,3.0,1088.0,22234.0,343960146.3082707,1057.0,1294938.737745098,85667349.25558099,87876.96578631453,3288.0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,301.6,12.0,1.0,32.31095406360424,25.348942172073343,0,0,1,1
16,925655569.0,103605.0,79944921.0,934302031.0,4294166.0,11054500.0,521725116.0,7499234052.0,2042145659.0,92231.0,5633435.0,12171026.0,13242.0,2765808.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299.9,79.0,94.0,60.0,83.0,0,0,0,0
17,395433400.0,12784.0,177932568.0,104673836.0,2484083.0,139300.0,25348800.0,207317000.0,268893710.0,129968.0,37988531.0,9961769.0,13437.0,1210029.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297.6,89.0,221.0,99.0,134.0,0,0,0,0
