Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice,IsGarageIncluded
1,6,65.0,8450.0,7,5,2003,2003,196.0,706.0,0.0,150.0,856.0,856.0,854.0,0.0,1710.0,1,0,2,1,3,1,8,0,2003,2,548.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,2,2008,208500.0,True
2,2,80.0,9600.0,6,8,1976,1976,0.0,978.0,0.0,284.0,1262.0,1262.0,0.0,0.0,1262.0,0,1,2,0,3,1,6,1,1976,2,460.0,298.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2007,181500.0,True
3,6,68.0,11250.0,7,5,2001,2002,162.0,486.0,0.0,434.0,920.0,920.0,866.0,0.0,1786.0,1,0,2,1,3,1,6,1,2001,2,608.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,9,2008,223500.0,True
4,7,60.0,9550.0,7,5,1915,1970,0.0,216.0,0.0,540.0,756.0,961.0,756.0,0.0,1717.0,1,0,1,0,3,1,7,1,1998,3,642.0,0.0,35.0,272.0,0.0,0.0,0.0,0.0,2,2006,140000.0,True
5,6,84.0,14260.0,8,5,2000,2000,350.0,655.0,0.0,490.0,1145.0,1145.0,1053.0,0.0,2198.0,1,0,2,1,4,1,9,1,2000,3,836.0,192.0,84.0,0.0,0.0,0.0,0.0,0.0,12,2008,250000.0,True
6,5,85.0,14115.0,5,5,1993,1995,0.0,732.0,0.0,64.0,796.0,796.0,566.0,0.0,1362.0,1,0,1,1,1,1,5,0,1993,2,480.0,40.0,30.0,0.0,320.0,0.0,0.0,700.0,10,2009,143000.0,True
7,2,75.0,10084.0,8,5,2004,2005,186.0,1369.0,0.0,317.0,1686.0,1694.0,0.0,0.0,1694.0,1,0,2,0,3,1,7,1,2004,2,636.0,255.0,57.0,0.0,0.0,0.0,0.0,0.0,8,2007,307000.0,True
8,6,70.04995836802665,10382.0,7,6,1973,1973,240.0,859.0,32.0,216.0,1107.0,1107.0,983.0,0.0,2090.0,1,0,2,1,3,1,7,2,1973,2,484.0,235.0,204.0,228.0,0.0,0.0,0.0,350.0,11,2009,200000.0,True
9,5,51.0,6120.0,7,5,1931,1950,0.0,0.0,0.0,952.0,952.0,1022.0,752.0,0.0,1774.0,0,0,2,0,2,2,8,2,1931,2,468.0,90.0,0.0,205.0,0.0,0.0,0.0,0.0,4,2008,129900.0,True
10,19,50.0,7420.0,5,6,1939,1950,0.0,851.0,0.0,140.0,991.0,1077.0,0.0,0.0,1077.0,1,0,1,0,2,2,5,2,1939,1,205.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1,2008,118000.0,True
11,2,70.0,11200.0,5,5,1965,1965,0.0,906.0,0.0,134.0,1040.0,1040.0,0.0,0.0,1040.0,1,0,1,0,3,1,5,0,1965,1,384.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2008,129500.0,True
