CryoSleep,RoomService,Spa,VRDeck,Transported,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
0,-0.340589866958155,-0.27666342233874663,-0.26902262771835533,0,0,1,0,0,0,1
0,-0.17536360342565457,0.21150529737228824,-0.2301943200865136,1,1,0,0,0,0,1
0,-0.27540886391322367,5.694289132961069,-0.22578201240107706,0,0,1,0,0,0,1
0,-0.340589866958155,2.6834707633043045,-0.09870755106050415,0,0,1,0,0,0,1
0,0.11870882891659393,0.2257324367445588,-0.26725770464418075,1,1,0,0,0,0,1
0,-0.340589866958155,-0.017907325005575153,-0.26902262771835533,1,1,0,0,0,1,0
0,-0.27692470119333834,-0.27666342233874663,-0.26902262771835533,1,1,0,0,0,0,1
1,-0.340589866958155,-0.27666342233874663,-1.0032426156241308e-16,1,1,0,0,0,0,1
0,-0.340589866958155,-0.08459704081309358,-0.26902262771835533,1,1,0,0,0,0,1
1,-0.340589866958155,-0.27666342233874663,-0.26902262771835533,1,0,1,0,1,0,0
1,-0.340589866958155,-0.27666342233874663,-0.26902262771835533,1,0,1,0,0,0,1
0,-0.2814722130336824,-0.1788518391543863,-0.15959739711952867,1,0,1,0,1,0,0
0,-0.22993374550978318,-0.27666342233874663,-0.1693044740274891,1,0,0,1,0,0,1
0,0.749297137444302,-0.27666342233874663,-0.24784355082825987,0,1,0,0,0,0,1
0,-0.3284631687172376,-0.2748850299172128,-0.26284539695874415,1,1,0,0,0,0,1
0,-0.2920830739944852,-0.27666342233874663,-0.26902262771835533,0,1,0,0,0,0,1
0,1.6087768752693274,-0.27666342233874663,-0.26902262771835533,0,0,0,1,1,0,0
0,-0.340589866958155,-0.27666342233874663,0.29310537140626236,0,1,0,0,1,0,0
1,-0.340589866958155,-0.27666342233874663,-0.26902262771835533,1,0,0,1,0,0,1
0,-0.340589866958155,-0.27666342233874663,-0.26902262771835533,1,1,0,0,0,0,1
0,0.2839350924490944,-0.27666342233874663,0.33016875596392947,0,1,0,0,1,0,0
1,-0.340589866958155,-0.27666342233874663,-0.26902262771835533,0,1,0,0,0,0,1
1,-0.340589866958155,-0.27666342233874663,-0.26902262771835533,0,1,0,0,1,0,0
1,-0.340589866958155,-0.27666342233874663,-0.26902262771835533,0,1,0,0,1,0,0
0,-0.340589866958155,-0.27666342233874663,-0.26902262771835533,1,1,0,0,0,0,1
1,4.308268671919345e-17,-0.27666342233874663,-0.26902262771835533,0,1,0,0,0,1,0
0,-0.340589866958155,-0.27666342233874663,-0.26902262771835533,0,1,0,0,0,0,1
0,1.1449306675542343,-0.27666342233874663,-0.26902262771835533,0,0,0,1,0,0,1
